driver_gene,target_gene,n_lineages,lineages,mean_effect,min_effect
BRCA2,UBE2I,2,"skin, breast",-0.295349042393077,-0.3913250870743288
BRCA2,LSM2,2,"skin, upper_aerodigestive",-0.33243536094267023,-0.38265082839818887
BRCA2,SCARF1,2,"skin, central_nervous_system",-0.29054994733814815,-0.38154688861273195
BRCA2,HSPA9,2,"skin, central_nervous_system",-0.294740698822635,-0.38149715193918254
BRCA2,UXT,2,"skin, upper_aerodigestive",-0.28539540325085583,-0.34962593117621854
PIK3CA,VRK1,2,"breast, central_nervous_system",-0.33901082371362723,-0.3589002645472455
BRCA2,OPA1,2,"lung, upper_aerodigestive",-0.20831184275359296,-0.21474553641632327
BRCA2,VARS1,2,"lung, bone",-0.2268166939136098,-0.2522742854795337
KRAS,MVD,2,"central_nervous_system, upper_aerodigestive",-0.4960748807772141,-0.631933977334753
BRCA2,SUMO2,2,"lung, skin",-0.23064530844556108,-0.2676619926528
BRCA2,MRPS17,2,"lung, upper_aerodigestive",-0.19852300952169824,-0.20666162485030803
BRCA2,TFDP1,2,"lung, bone",-0.2313513777071582,-0.2723820044285044
BRCA2,USP39,2,"lung, breast",-0.18868912851958297,-0.18885085207444852
KRAS,GRSF1,2,"skin, central_nervous_system",-0.22061176333170857,-0.2505906629325773
BRCA2,MRPS2,2,"lung, upper_aerodigestive",-0.18805100032838648,-0.19267728646205612
BRCA2,LRRC37A3,2,"lung, upper_aerodigestive",-0.208798554922481,-0.23826430415584177
BRCA2,RICTOR,2,"lung, breast",-0.24369639117564335,-0.31179813638765824
BRCA2,RPSA,2,"lung, bone",-0.1704262974654659,-0.17264315034020172
BRCA2,NUDT21,2,"lung, skin",-0.232860723366611,-0.29418706076863876
KRAS,DTYMK,2,"central_nervous_system, upper_aerodigestive",-0.6575289675921401,-0.8030855500526215
BRCA2,RBMX2,2,"lung, skin",-0.31533568487158065,-0.46894066542958124
BRCA2,POLD1,2,"lung, skin",-0.2906794965964852,-0.42406575566251736
BRCA2,LCE2A,2,"lung, upper_aerodigestive",-0.21011316900064167,-0.23478154267245926
BRCA2,LSM5,2,"lung, skin",-0.30340580569011133,-0.3067277008637299
BRCA2,RPS24,2,"lung, breast",-0.2578807181350583,-0.2935903810907574
BRCA2,WDR12,2,"lung, upper_aerodigestive",-0.3394610038023258,-0.40754121384440123
BRCA2,COPS4,2,"lung, skin",-0.3297539731622412,-0.3900298924732456
BRCA2,NDUFB9,2,"lung, breast",-0.21788785841542485,-0.252213919353947
BRCA2,UTP14A,2,"lung, skin",-0.2485360365026512,-0.2506884274320533
BRCA2,TMA16,2,"lung, skin",-0.26396355873705474,-0.28168032648690133
KRAS,N6AMT1,2,"central_nervous_system, upper_aerodigestive",-0.33420597761225923,-0.44301476087343356
BRCA2,PES1,2,"lung, upper_aerodigestive",-0.3248819641914727,-0.41356690636193016
BRCA2,POLR1B,2,"lung, upper_aerodigestive",-0.2430516435343859,-0.25195190005045776
KRAS,HSCB,2,"central_nervous_system, upper_aerodigestive",-0.3598841811446484,-0.4279908388073451
BRCA2,RRP12,2,"lung, skin",-0.23371420560511003,-0.2355451766301122
BRCA2,RPS23,2,"lung, upper_aerodigestive",-0.20463628550475899,-0.22347448438679618
BRCA2,PSMC3,2,"lung, skin",-0.3530950379057797,-0.4889219549636312
BRCA2,CCT7,2,"lung, breast",-0.21975690698483463,-0.22288104800626152
BRCA2,HYOU1,2,"lung, upper_aerodigestive",-0.2607236716277599,-0.3067302011587869
BRCA2,ATP5F1A,2,"lung, upper_aerodigestive",-0.2587225285142164,-0.2803496687860719
KRAS,ECT2,2,"skin, kidney",-0.4423097574653715,-0.5667469931054069
KRAS,UTP6,2,"skin, kidney",-0.26473535427157197,-0.31017136429382375
KRAS,MAK16,2,"skin, upper_aerodigestive",-0.2814715024785276,-0.2825985297402924
EGFR,DMAP1,2,"pancreas, kidney",-0.2207399226722474,-0.25647629100031333
EGFR,FARS2,2,"pancreas, kidney",-0.22364265782801904,-0.26219294683425226
KRAS,CSNK2B,2,"skin, kidney",-0.49371483142896977,-0.7082623586293293
KRAS,ATM,2,"skin, kidney",-0.28821965974756725,-0.30831901166894704
EGFR,NDUFA8,2,"pancreas, kidney",-0.17796914180011872,-0.20431944508197758
KRAS,ILF3,2,"skin, upper_aerodigestive",-0.28777533267968164,-0.31320214312120853
EGFR,LYRM4,2,"pancreas, upper_aerodigestive",-0.21956519554133558,-0.23262724988779726
KRAS,MRPL30,2,"ovary, skin",-0.18798428597030398,-0.19918289320251747
EGFR,POLR2D,2,"pancreas, liver",-0.23211932608297525,-0.24499040266039795
KRAS,NSMCE2,2,"skin, central_nervous_system",-0.22961834768005815,-0.2598389356869006
KRAS,DDX54,2,"skin, kidney",-0.31905205471803266,-0.38052112940393124
EGFR,TWNK,2,"pancreas, kidney",-0.24923548228346354,-0.2578265819116514
EGFR,MARS2,2,"pancreas, kidney",-0.29093934530979626,-0.33474630800560273
EGFR,MTG2,2,"pancreas, kidney",-0.21284411038543646,-0.2357593168597698
BRCA2,PSMC6,2,"lung, breast",-0.22132205504520097,-0.2870952859870559
EGFR,SLC25A26,2,"pancreas, kidney",-0.16009388904242683,-0.1682367699894431
BRCA2,POLR2E,2,"lung, breast",-0.1727908641880712,-0.1948802441887738
KRAS,OIP5,2,"skin, central_nervous_system",-0.48024557210687446,-0.6397517301846478
KRAS,PGK1,2,"skin, upper_aerodigestive",-0.40762947215329953,-0.48251331896816163
EGFR,AARS2,2,"pancreas, kidney",-0.20912466192697904,-0.2602672743606386
KRAS,WDR77,2,"skin, central_nervous_system",-0.3620357221875291,-0.42310441004465793
EGFR,COX7C,2,"pancreas, kidney",-0.22138048197861365,-0.28113095139171873
KRAS,GNL3,2,"skin, kidney",-0.3627887930461543,-0.3854446932797899
KRAS,DOHH,2,"skin, upper_aerodigestive",-0.3575915691889115,-0.39942808844676014
KRAS,GNB1L,2,"skin, upper_aerodigestive",-0.35501512364851423,-0.370684125943196
KRAS,NSMCE1,2,"skin, central_nervous_system",-0.3854730615944769,-0.41043809541186316
KRAS,DNLZ,2,"skin, central_nervous_system",-0.3340897353929776,-0.35744799602274774
KRAS,TAMM41,2,"skin, central_nervous_system",-0.31180730904666765,-0.35213065696548784
KRAS,BUD31,2,"skin, central_nervous_system",-0.2556176608134515,-0.3466626476939809
EGFR,MRPL46,2,"pancreas, kidney",-0.18350605996570396,-0.18404773678282846
KRAS,DNAJC21,2,"skin, kidney",-0.35572619953158174,-0.3670288727776282
EGFR,VARS2,2,"pancreas, kidney",-0.208378909312446,-0.2375519461359848
BRCA2,SAMD4B,2,"ovary, colorectal",-0.2137938703844662,-0.22044721007189072
BRCA2,TOMM40,2,"ovary, skin",-0.23757643818866048,-0.26988067974306884
BRCA2,MUC20,2,"ovary, central_nervous_system",-0.19292135270627514,-0.20312810376949372
BRCA2,NUP85,2,"ovary, blood",-0.20365054558610107,-0.22525759317536842
BRCA2,MIX23,2,"ovary, blood",-0.1588998705903487,-0.1607683920690449
BRCA2,RMND5A,2,"ovary, bone",-0.2261717206129904,-0.29823852073450763
KRAS,SSB,2,"blood, kidney",-0.371711231445705,-0.3978692134688965
KRAS,POLG,2,"blood, skin",-0.34943224366989456,-0.39809573842622853
STK11,NDUFAF1,2,"kidney, liver",-0.29402267200824506,-0.3278387120706108
KRAS,MCM4,2,"blood, skin",-0.3796106940960904,-0.46348899923901143
KRAS,LARS2,2,"blood, lung",-0.26413450999390775,-0.2829854767400913
KRAS,HNRNPH1,2,"blood, skin",-0.33579874062252696,-0.39090667935087353
KRAS,TIMM9,2,"blood, kidney",-0.3626174460444081,-0.45220572259603037
KRAS,NELFCD,2,"blood, kidney",-0.2689959868794813,-0.2709506356494571
KRAS,SEH1L,2,"blood, upper_aerodigestive",-0.27665689842227564,-0.28879944539574287
KRAS,MRPL20,2,"blood, skin",-0.2911427487442398,-0.32244269747729365
KRAS,MFN2,2,"blood, skin",-0.26393329460044856,-0.26932271838255667
KRAS,WDR24,2,"blood, upper_aerodigestive",-0.3054899915196403,-0.31049272594002403
BRCA2,NBAS,2,"ovary, upper_aerodigestive",-0.3013565818341137,-0.32489507266299256
BRCA2,GTF2B,2,"ovary, bone",-0.2481712917492065,-0.31553619282026535
BRCA2,RRAGC,2,"ovary, colorectal",-0.24066732077499509,-0.30768311712356344
BRCA2,MAEA,2,"ovary, colorectal",-0.23837783052576314,-0.299273675799557
BRCA2,ARPC3,2,"ovary, colorectal",-0.27591046951841725,-0.29776662508505636
BRCA2,RBBP6,2,"ovary, breast",-0.2955338871282246,-0.3010398219527819
BRCA2,PSMD8,2,"ovary, bone",-0.2275196087490421,-0.28336586871822256
BRCA2,PSMD11,2,"ovary, skin",-0.2908385150796856,-0.3059742112382884
BRCA2,SPDL1,2,"ovary, lung",-0.19893163117839519,-0.21706609746393535
BRCA2,COPA,2,"ovary, skin",-0.26857215165332926,-0.28062091055395677
BRCA2,ICE1,2,"ovary, bone",-0.24848039133908664,-0.2541416510882481
BRCA2,RANBP2,2,"ovary, colorectal",-0.23386913011549415,-0.2536601287924457
BRCA2,CCT5,2,"ovary, lung",-0.2032538418513381,-0.2514697309537799
BRCA2,TICRR,2,"ovary, colorectal",-0.21817979879743643,-0.24970960919483742
BRCA2,PSMD12,2,"ovary, colorectal",-0.2041960316290008,-0.24235720442867414
BRCA2,E2F3,2,"ovary, bone",-0.24579417790217709,-0.263468777518031
BRCA2,INTS8,2,"ovary, skin",-0.31165161034989963,-0.3996521909880204
BRCA2,GBF1,2,"ovary, colorectal",-0.25072048720827844,-0.2683432006432227
KRAS,EIF2B1,2,"blood, skin",-0.22702053159797997,-0.25285797464479953
KRAS,PRPF19,2,"blood, skin",-0.32052085757004134,-0.4422380913722619
KRAS,TTC27,2,"blood, central_nervous_system",-0.20029154073037891,-0.20303960339623228
KRAS,SNRNP40,2,"blood, skin",-0.24735579696332033,-0.30255624663069935
KRAS,ZNF273,2,"blood, kidney",-0.2257041789905706,-0.26219003497982407
KRAS,PRORP,2,"blood, central_nervous_system",-0.30222287547635407,-0.41844741195127233
KRAS,MRPS24,2,"blood, lung",-0.22399885779237838,-0.2651511478452604
KRAS,TPRKB,2,"blood, upper_aerodigestive",-0.23148841859869804,-0.28030913650971184
KRAS,SSU72,2,"blood, skin",-0.3251999362656973,-0.4047462821399912
KRAS,GET1,2,"blood, lung",-0.2112004955508454,-0.2404790328999284
KRAS,MRPL46,2,"blood, skin",-0.23355174221302613,-0.28669972728699583
KRAS,RPS23,2,"blood, kidney",-0.273015413918858,-0.366445404824149
KRAS,SUPT20H,2,"blood, central_nervous_system",-0.3146642687009287,-0.45137213672818344
KRAS,MRPL17,2,"blood, lung",-0.25981119882579595,-0.34725466297001256
KRAS,TRUB2,2,"blood, lung",-0.16454675570587324,-0.17039684399467936
KRAS,UFC1,2,"blood, kidney",-0.3783707524260051,-0.5911363067872939
KRAS,KAT2A,2,"blood, central_nervous_system",-0.21267075651065948,-0.26180273617933203
KRAS,STMN1,2,"blood, kidney",-0.19358599997857867,-0.20483936712627965
KRAS,RCC1,2,"blood, kidney",-0.46412241697966566,-0.6906850788747746
KRAS,CDIPT,2,"blood, upper_aerodigestive",-0.2555331376452073,-0.2741768208351546
KRAS,FCF1,2,"blood, upper_aerodigestive",-0.2155871738695584,-0.23502917782399457
KRAS,LSM10,2,"blood, kidney",-0.2968963306320335,-0.3610581406549691
KRAS,TADA2B,2,"blood, central_nervous_system",-0.2825612261594651,-0.3328546830412549
KRAS,SNAPC5,2,"blood, lung",-0.24687412927071017,-0.2617118820688271
KRAS,PGAM1,2,"blood, upper_aerodigestive",-0.24877202633477474,-0.2728011409942762
KRAS,SCAF4,2,"blood, upper_aerodigestive",-0.2076714576561422,-0.22427366332445586
KRAS,COA6,2,"blood, lung",-0.2172483814151266,-0.23011181601224232
KRAS,XPO5,2,"blood, skin",-0.24674926776263006,-0.28054591275736696
KRAS,IPO11,2,"blood, skin",-0.26230069546672613,-0.31675290645524135
KRAS,MRPS2,2,"blood, skin",-0.2603367972385495,-0.31412208495616845
KRAS,RPL18A,2,"blood, kidney",-0.2409798786504651,-0.27563862332062383
KRAS,EIF4A1,2,"blood, kidney",-0.317106335252088,-0.42883059095342313
KRAS,EARS2,2,"blood, skin",-0.3406561948594314,-0.4759532002317882
KRAS,HNRNPA3,2,"blood, kidney",-0.3181885687026959,-0.4312611316822505
KRAS,MTG2,2,"blood, lung",-0.23483822840711976,-0.26520126187264337
KRAS,GOLT1B,2,"blood, kidney",-0.2754327619106643,-0.3334065665525968
KRAS,TONSL,2,"ovary, blood",-0.2446797756872171,-0.2553615922331558
KRAS,PTPN2,2,"ovary, blood",-0.20932941359799484,-0.23545160228162415
KRAS,ATP5PO,2,"ovary, skin",-0.30297946970949574,-0.4137090953960131
PIK3CA,MMGT1,2,"ovary, skin",-0.19746217172737712,-0.22803560044768903
PIK3CA,PRDX1,2,"ovary, lung",-0.19507316382402837,-0.22710510870463885
PIK3CA,TIMM29,2,"ovary, lung",-0.19194346126644285,-0.22140386542188506
PIK3CA,RTCB,2,"ovary, lung",-0.20042028835177655,-0.22077175464327958
PIK3CA,EMC6,2,"ovary, skin",-0.2072875638459973,-0.21433564072154912
BRCA2,ECD,2,"ovary, skin",-0.29076217450106623,-0.3500409689434758
PIK3CA,TMA16,2,"ovary, breast",-0.19899047177738793,-0.2128006222237343
PIK3CA,MON2,2,"ovary, lung",-0.17317695559265356,-0.17473010222869262
PIK3CA,NOL12,2,"ovary, central_nervous_system",-0.22098970797449835,-0.2750160735668442
PIK3CA,PAPOLA,2,"ovary, blood",-0.1947563774823875,-0.2332873336088572
EGFR,ITGAV,2,"ovary, pancreas",-0.47325673519866773,-0.53496914408666
EGFR,POLR3H,2,"ovary, pancreas",-0.23342454393045742,-0.31197112160127416
EGFR,TXNRD1,2,"ovary, pancreas",-0.3545790406138847,-0.4041909926698413
EGFR,TIMM29,2,"ovary, lung",-0.20527936202914418,-0.2453979522743247
KRAS,MPV17,2,"ovary, skin",-0.1612683732966385,-0.16581286427860836
PIK3CA,EMC3,2,"ovary, breast",-0.2828091368367385,-0.3452740798516635
PIK3CA,NUBP1,2,"ovary, colorectal",-0.274240242483917,-0.29791720772323993
PIK3CA,RNASEH2C,2,"ovary, skin",-0.20946748555662822,-0.2572654724445914
PIK3CA,POLE3,2,"ovary, skin",-0.2938362135193394,-0.3410234309445621
PIK3CA,POLE4,2,"ovary, skin",-0.2826054006534894,-0.3308894876458207
PIK3CA,EIF1AD,2,"ovary, skin",-0.2366798786286176,-0.2391628945086397
EGFR,ATP5PB,2,"pancreas, kidney",-0.188528709147828,-0.20653746236374543
STK11,SPRR2G,2,"central_nervous_system, lymphocyte",-0.2289463335164878,-0.2958152086796022
KRAS,MRPS5,2,"ovary, lung",-0.2176313533044904,-0.26889932648101134
PIK3CA,UTP23,2,"ovary, skin",-0.2118716564237606,-0.21495052299580975
EGFR,CNOT4,2,"upper_aerodigestive, liver",-0.17740679511969962,-0.20361755802426476
KRAS,ZPR1,2,"ovary, upper_aerodigestive",-0.37031179156394844,-0.5291005331570666
KRAS,H3C13,2,"ovary, blood",-0.3421313330562764,-0.3881298663895174
KRAS,ACTR6,2,"ovary, central_nervous_system",-0.3406120570321367,-0.3612570676014113
KRAS,AHCYL1,2,"ovary, lung",-0.24972384905897546,-0.2968555776149522
KRAS,DNM1L,2,"ovary, skin",-0.25832201434943036,-0.27696184927833545
KRAS,PAGR1,2,"ovary, central_nervous_system",-0.27347265684816024,-0.27394272868599295
KRAS,CDC23,2,"central_nervous_system, kidney",-0.17469952593240534,-0.18935748096889382
ARID1A,PDCD11,2,"ovary, lung",-0.2680062054899329,-0.26905563956592404
ARID1A,MAPRE1,2,"ovary, breast",-0.20497097507232742,-0.24837383901570093
ARID1A,LAMTOR2,2,"ovary, skin",-0.3071389526548206,-0.3847941651579184
ARID1A,ZNF658,2,"ovary, skin",-0.20556891200166935,-0.21943321812404942
ARID1A,DEXI,2,"ovary, blood",-0.1807565961211147,-0.19032480670151314
ARID1A,DHODH,2,"ovary, breast",-0.2210774065363036,-0.2536443953838239
ARID1A,ARF1,2,"ovary, skin",-0.19336131963214886,-0.2010774991808639
ARID1A,LIPT1,2,"ovary, breast",-0.17565300687844387,-0.18310736533682406
EGFR,WARS1,2,"ovary, upper_aerodigestive",-0.26300999441420847,-0.2853187006950548
ARID1A,HNRNPR,2,"ovary, skin",-0.1930212328542468,-0.21932678870947137
ARID1A,KNTC1,2,"ovary, breast",-0.23540498274489136,-0.3052195233277107
BRCA2,SBDS,2,"ovary, colorectal",-0.5718355614161209,-0.5987317215115011
BRCA2,CDK2,2,"ovary, bone",-0.4688005630945688,-0.528365583232289
BRCA2,SNAP23,2,"ovary, upper_aerodigestive",-0.3722610727025905,-0.3862219392976616
BRCA2,BCL2L1,2,"ovary, colorectal",-0.42740915608353003,-0.4753350519013406
BRCA2,NRBP1,2,"ovary, blood",-0.38195113955327475,-0.38626933921428386
BRCA2,VPS37A,2,"ovary, skin",-0.4046383457389063,-0.4497270690631957
ARID1A,FNTB,2,"ovary, skin",-0.19843092573727988,-0.2168776283373538
EGFR,GFER,2,"ovary, pancreas",-0.20964160730215947,-0.22636291209998016
EGFR,NOB1,2,"ovary, upper_aerodigestive",-0.20576922923710006,-0.22083077137435114
EGFR,SLC30A9,2,"ovary, colorectal",-0.18371036184482414,-0.20990291139176628
EGFR,ATP5PO,2,"ovary, pancreas",-0.20183017166447637,-0.22531550897600156
EGFR,MRPS12,2,"ovary, pancreas",-0.1682121290097119,-0.1765544183218445
EGFR,TMOD3,2,"ovary, upper_aerodigestive",-0.16317486495994335,-0.1677101693539097
EGFR,ROCK2,2,"ovary, colorectal",-0.15927944217815457,-0.16663689366173284
EGFR,CIAO3,2,"ovary, upper_aerodigestive",-0.1850225469255996,-0.21155344732980286
ARID1A,IFITM3,2,"ovary, blood",-0.24591167873014297,-0.27117139683482705
KRAS,COX7B,2,"ovary, blood",-0.17041486898366925,-0.171159729327807
ARID1A,RPP38,2,"ovary, central_nervous_system",-0.2514240413607407,-0.34214753098718304
ARID1A,POLR1A,2,"ovary, central_nervous_system",-0.2950260517576708,-0.34154796257796116
ARID1A,CEBPZ,2,"ovary, lymphocyte",-0.2907816775321337,-0.32708989856731874
ARID1A,FAM104B,2,"ovary, blood",-0.26460841723467377,-0.32242485865494364
ARID1A,SLC7A5,2,"ovary, skin",-0.2827070043431783,-0.2968812144921125
ARID1A,NELFCD,2,"ovary, central_nervous_system",-0.25189805926888864,-0.29649951807802033
ARID1A,NEPRO,2,"ovary, skin",-0.26760184477276283,-0.2955670215846997
ARID1A,DHX36,2,"ovary, blood",-0.2909087239281179,-0.2954668217193265
ARID1A,POLR1F,2,"ovary, lymphocyte",-0.3804369680908086,-0.45427877181184106
BRCA2,SDHA,2,"blood, central_nervous_system",-0.22332887907152535,-0.26840942167001475
BRCA2,SMR3B,2,"blood, skin",-0.22903394631176432,-0.2684000108108078
BRCA2,PSMD14,2,"blood, lung",-0.2716287120448142,-0.2782781297565924
BRCA2,MRPL20,2,"blood, lung",-0.27779364352321173,-0.29079945514309175
BRCA2,BTF3,2,"blood, lung",-0.2277467546034156,-0.2630194563433432
BRCA2,ANAPC10,2,"blood, lung",-0.2315288172202411,-0.2556460102931313
BRCA2,GABPB1,2,"blood, lung",-0.23482294135877474,-0.25427247104219974
BRCA2,MRPS36,2,"blood, lung",-0.21377043566943899,-0.2516065093631594
KRAS,PGGT1B,2,"blood, upper_aerodigestive",-0.18708614078743813,-0.2190190556483671
BRCA2,PRSS50,2,"blood, skin",-0.23807426943818383,-0.2494576426988667
BRCA2,UBE2G2,2,"blood, lung",-0.20821518617358578,-0.24843106966029257
BRCA2,NSUN4,2,"blood, lung",-0.2056604418879016,-0.24825590453781504
BRCA2,RPF2,2,"blood, skin",-0.2600898846344928,-0.27291839635308757
BRCA2,MTG2,2,"blood, lung",-0.21545350607170807,-0.24465716318020886
BRCA2,MRPS33,2,"blood, upper_aerodigestive",-0.22321243394195217,-0.2363764948924089
BRCA2,WDR33,2,"blood, lung",-0.19831650669260592,-0.23320094011602666
BRCA2,MRPS15,2,"blood, lung",-0.19261993034915614,-0.22567769892405354
BRCA2,RAF1,2,"blood, colorectal",-0.2498705728445838,-0.25080240932432335
BRCA2,RPL35A,2,"blood, breast",-0.25429547379486994,-0.32952197342536294
BRCA2,PRELID3B,2,"blood, lung",-0.2956638550753635,-0.3203120166540119
BRCA2,CEP55,2,"blood, central_nervous_system",-0.25266210962953245,-0.31766104082709323
BRCA2,KARS1,2,"blood, lung",-0.2489721485044617,-0.3119913716133298
BRCA2,NGDN,2,"blood, skin",-0.2969431366042162,-0.3117998238301717
BRCA2,TIMM44,2,"blood, skin",-0.27772308870494916,-0.3092665427659054
BRCA2,MED8,2,"blood, colorectal",-0.28636783440877767,-0.3072689440667373
BRCA2,RPL18A,2,"blood, lung",-0.24720171991678075,-0.3056337258790698
BRCA2,TOE1,2,"blood, lung",-0.24923165624968868,-0.271585470465009
BRCA2,PSMA2,2,"blood, lung",-0.31418920550667195,-0.33063007326222604
BRCA2,FDPS,2,"blood, colorectal",-0.2505737515482246,-0.2867991055923772
BRCA2,TAF1A,2,"blood, lung",-0.2244957029115092,-0.2850237981217149
BRCA2,EIF2S1,2,"blood, upper_aerodigestive",-0.2848840891752278,-0.2889693032224647
BRCA2,MTA2,2,"blood, bone",-0.23685793572445735,-0.27727818063414356
BRCA2,CPSF3,2,"blood, lung",-0.2782166264839543,-0.27991910278575727
BRCA2,ZNF674,2,"blood, lung",-0.22059953316359682,-0.2740298665553811
BRCA2,PTCD1,2,"blood, lung",-0.21347381478836325,-0.27255808982269275
BRCA2,EIF5AL1,2,"blood, breast",-0.22702854906907394,-0.30083892261390965
PIK3CA,RFC2,2,"colorectal, breast",-0.2892928078731948,-0.291923696352379
PIK3CA,SDE2,2,"colorectal, central_nervous_system",-0.23708947583357698,-0.25980211656949326
PIK3CA,CDC42,2,"colorectal, lung",-0.2618340787761859,-0.2894006187030709
PIK3CA,XRCC5,2,"colorectal, breast",-0.21683203531063383,-0.2211467136309504
PIK3CA,MTMR6,2,"colorectal, skin",-0.2174614376325581,-0.25401817680937566
PIK3CA,NDUFA1,2,"colorectal, upper_aerodigestive",-0.17027782721180695,-0.18021821948449196
PIK3CA,PTEN,2,"colorectal, central_nervous_system",-0.22168549757957084,-0.26737770546936956
PIK3CA,PAM16,2,"colorectal, lung",-0.16357912519042483,-0.16407341109398565
BRCA2,COPB2,2,"blood, colorectal",-0.28673363673031804,-0.3499176924157894
EGFR,MAP2K1,2,"colorectal, liver",-0.20474564375725768,-0.21923525777737296
EGFR,MRPL4,2,"colorectal, pancreas",-0.2181966434942808,-0.2277411572908954
EGFR,MLST8,2,"colorectal, kidney",-0.24002767737898933,-0.2773698787459511
EGFR,BRF1,2,"colorectal, upper_aerodigestive",-0.19275826288403397,-0.197144625866295
EGFR,POLD2,2,"colorectal, lung",-0.17428923854482437,-0.17933448948344433
EGFR,RRP15,2,"colorectal, liver",-0.19130395366570874,-0.20753023380233437
EGFR,WDR5,2,"colorectal, pancreas",-0.18489840575933547,-0.20515604625278772
EGFR,KANSL2,2,"colorectal, liver",-0.198876644636579,-0.2384245995213622
EGFR,CDAN1,2,"colorectal, upper_aerodigestive",-0.3397201326894822,-0.4195249050200645
BRCA2,RPTOR,2,"blood, upper_aerodigestive",-0.23674398818535708,-0.25265007793235017
BRCA2,INTS13,2,"blood, bone",-0.25404962151845645,-0.28766487525515216
BRCA2,PHF5A,2,"blood, skin",-0.3752304096946406,-0.5304274892229901
BRCA2,TSEN54,2,"blood, skin",-0.20702280884649749,-0.2153938430293909
BRCA2,CTPS1,2,"blood, upper_aerodigestive",-0.23511694001262695,-0.2584112008739161
BRCA2,AK1,2,"blood, colorectal",-0.18755905221154834,-0.20963933762565864
BRCA2,SRP68,2,"blood, colorectal",-0.27372305673921254,-0.35190953330481245
BRCA2,AKR1B15,2,"blood, skin",-0.18012554245149903,-0.193401747965606
PIK3CA,CTNNB1,2,"colorectal, skin",-0.33484968167176243,-0.48678739905596446
BRCA2,MRPL22,2,"blood, lung",-0.18472785119568538,-0.18555719101580373
BRCA2,CCDC166,2,"blood, skin",-0.1783201765469042,-0.17990188069921703
BRCA2,COX14,2,"blood, upper_aerodigestive",-0.19229753671301483,-0.20469739722411479
BRCA2,GNB1,2,"blood, lung",-0.1697296823047691,-0.17498486403754748
BRCA2,CPOX,2,"blood, skin",-0.22264680928447633,-0.2813069199983954
BRCA2,MTIF2,2,"blood, lung",-0.15807429680529458,-0.1634478755255943
BRCA2,TTC19,2,"blood, breast",-0.17051218941815532,-0.18342854971261485
BRCA2,ZNF491,2,"blood, skin",-0.16771137366773525,-0.18125826753821123
BRAF,ZC3H13,2,"colorectal, skin",-0.21400411737008426,-0.24149288771388494
BRCA2,MRPS16,2,"blood, central_nervous_system",-0.17725168023302848,-0.1911980860460304
PIK3CA,BZW1,2,"blood, skin",-0.17380609826987714,-0.1963585929322741
PTEN,RPLP1,2,"blood, lymphocyte",-0.34327963223579605,-0.42569658390557197
PTEN,CFLAR,2,"blood, lymphocyte",-0.3876011681536935,-0.409357053533551
PTEN,RHOQ,2,"blood, lymphocyte",-0.3817239978887714,-0.40230797345125185
PTEN,GGT1,2,"blood, lymphocyte",-0.3167152244617699,-0.3977588141680773
PTEN,SUGT1,2,"blood, lymphocyte",-0.3076868498738795,-0.3753251084657178
PTEN,LLPH,2,"blood, lymphocyte",-0.31530149060781804,-0.36699805938741537
PTEN,FAM136A,2,"blood, lymphocyte",-0.31314481309360875,-0.33000826378336506
BRCA2,CSE1L,2,"blood, skin",-0.3281640409357587,-0.33014804870742664
PTEN,WBP1,2,"blood, lymphocyte",-0.27158032358113854,-0.2797914819076802
PTEN,MUC20,2,"blood, lymphocyte",-0.22952262934325282,-0.26088882011468245
PTEN,HERC2,2,"blood, lymphocyte",-0.2458356760685207,-0.25978697705714865
PTEN,DEXI,2,"blood, lymphocyte",-0.2148502953878744,-0.22329641587746613
PTEN,METTL18,2,"blood, lymphocyte",-0.18943679900601657,-0.2193804150052963
PTEN,ARMC5,2,"blood, lymphocyte",-0.19662360179849403,-0.2078266451337151
PTEN,RNF138,2,"blood, lymphocyte",-0.18639296149563428,-0.19777781926862978
PTEN,H2AC8,2,"blood, lymphocyte",-0.18035800241312083,-0.18424962022218522
PTEN,NOL7,2,"blood, lymphocyte",-0.23872337043959707,-0.27478870927605936
KRAS,EMC1,2,"blood, central_nervous_system",-0.23766917000419144,-0.32097465255922814
KRAS,MRPL34,2,"blood, central_nervous_system",-0.2294371822042241,-0.30572533340550145
KRAS,ZNF212,2,"blood, central_nervous_system",-0.15457401040945706,-0.1573881429901189
KRAS,TOMM70,2,"blood, lung",-0.15934156323484733,-0.16789674314637174
KRAS,MRPL3,2,"blood, skin",-0.21467841879745875,-0.2789978862194237
PIK3CA,KRT18,2,"blood, central_nervous_system",-0.3181005991966871,-0.35617162147431286
PIK3CA,LIPT1,2,"blood, skin",-0.27441223624807026,-0.3068907599055325
PIK3CA,AHCYL1,2,"blood, skin",-0.28290701943323093,-0.29562935816859476
PIK3CA,NUP42,2,"blood, central_nervous_system",-0.18317553434259698,-0.19637582700788794
PIK3CA,AKIRIN1,2,"blood, skin",-0.2493081312579438,-0.27002056532334406
PIK3CA,PGM3,2,"blood, skin",-0.3583045866484068,-0.4631121284614954
PIK3CA,DNLZ,2,"blood, central_nervous_system",-0.23111770634163786,-0.2335500924500571
PIK3CA,HNRNPF,2,"blood, colorectal",-0.18916308714760866,-0.22794156659793027
PIK3CA,IPO9,2,"blood, skin",-0.2729173037111758,-0.32398609215710583
